,id,text,timestamp,high,low,open,close,time,source,symbols,company_names,url,verified,change,Sentiment
963,1.01664979366444E+018,American Electric Power $AEP Now Covered by Barclays https://t.co/xdAjGjNGI0,Tue Jul 10 11:46:13 +0000 2018,70.22,68.24,68.64,69.78,2018-07-10,ThisLincolnian,AEP,American Electric Power Company,http://thelincolnianonline.com/?p=2174152,False,1.14,0.6
103,1.01620205927894E+018,Zacks: Brokerages Anticipate Aon PLC $AON Will Post Quarterly Sales of $2.50 Billion https://t.co/z6yqECpIVS,Mon Jul 09 06:07:05 +0000 2018,142.62,139.89,139.89,142.53,2018-07-09,TheMarketsDaily,AON,Aon plc,http://zpr.io/6THva,False,2.64,0.84
120,1.01621331818333E+018,Advance Auto Parts $AAP Rating Increased to Buy at ValuEngine https://t.co/kZqLnVusB5,Mon Jul 09 06:51:50 +0000 2018,141.58,137.47,137.59,140.95,2018-07-09,dakotafinancial,AAP,Advance Auto Parts,http://dakotafinancialnews.com/?p=305998,False,3.36,0.88
127,1.01621801313205E+018,$AON @ApolloMinerals 窶�Excellent Infrastructure and Ground Conditions Confirmed At Historical Salau #Tungsten Mine https://t.co/0EXvMujfVA,Mon Jul 09 07:10:29 +0000 2018,142.62,139.89,139.89,142.53,2018-07-09,Brand_UK,AON,Aon plc,http://www.branduk.net/apollo-minerals-excellent-infrastructure-and-ground-conditions-confirmed-at-historical-salau-tungsten-mine/,False,2.64,0.79
135,1.01622334827833E+018,$AON @ApolloMinerals provide yet more compelling evidence that Salau is one of the highest quality #Tungsten #Mines窶ｦ https://t.co/VTbZPyMT3p,Mon Jul 09 07:31:41 +0000 2018,142.62,139.89,139.89,142.53,2018-07-09,Alan__Green,AON,Aon plc,https://twitter.com/i/web/status/1016223348278333441,False,2.64,0.76
173,1.0162568798514E+018,Analysts Set Mid-America Apartment Communities Inc $MAA Target Price at $102.60 https://t.co/IQNKrI4LW9,Mon Jul 09 09:44:55 +0000 2018,100.28,98.63,100.28,99.05,2018-07-09,dakotafinancial,MAA,Mid-America Apartment Communities,http://dakotafinancialnews.com/?p=306503,False,-1.23,0.3
189,1.01626848355693E+018,$IRM IronMountain - Iron Mountain Begins Construction on Phoenix Data Center Campus Expansion From our Stock News Alerts App,Mon Jul 09 10:31:02 +0000 2018,36.52,35.75,36,36.5,2018-07-09,Allstocknews,IRM,Iron Mountain Incorporated,,False,0.5,0.8
192,1.01626991282903E+018,$AEE high OI range is 60.00 to 60.00 for option expiration 07/20/2018 #maxpain #options https://t.co/VuDBG81HYh https://t.co/pSbwLb6KLz,Mon Jul 09 10:36:43 +0000 2018,62.02,59.76,62.02,59.97,2018-07-09,optioncharts,AEE,Ameren Corporation,http://maximum-pain.com/options/open-interest/AEE,False,-2.05,0.23
207,1.01627959074933E+018,AON $AON Cut to 窶廩old窶�at Zacks Investment Research  https://t.co/rXEV4121Lt,Mon Jul 09 11:15:10 +0000 2018,142.62,139.89,139.89,142.53,2018-07-09,EnterpriseLeade,AON,Aon plc,http://theenterpriseleader.com/?p=975172,False,2.64,0.85
276,1.0163075001808E+018,Earnings volatility concerns drive reinsurance buying Willis Towers Watson survey finds $WLTW https://t.co/4nEUzaZLSI,Mon Jul 09 13:06:04 +0000 2018,158.72,155.16,156.68,158.7,2018-07-09,GNWLive,WLTW,Willis Towers Watson Public Limited Company,http://bit.ly/2m7pNYC,False,2.02,0.81
263,1.01630668863735E+018,$DRYS #BDI #SHIPPING $DCIX $GLBS $TOOPS  Dry Bulk Shipping Stocks Are Poised To Jump via @forbes https://t.co/fvvF2F2m7j,Mon Jul 09 13:02:51 +0000 2018,1.66,1.58,1.61,1.63,2018-07-09,KennethMilesTa2,DCIX,Diana Containerships Inc.,https://www.forbes.com/sites/jimcollins/2018/07/09/dry-bulk-shipping-stocks-are-poised-to-jump/,False,0.02,0.6
318,1.01631939088586E+018,Fidelity National Information Servcs Inc: The stock is testing its highs. $FIS https://t.co/uswYUpeD24 https://t.co/UsLyatz07n,Mon Jul 09 13:53:19 +0000 2018,109.15,108,108.66,108.22,2018-07-09,MScreener,FIS,Fidelity National Information Services,http://www.4-traders.com//FIDELITY-NATIONAL-INFORMA-12027/,False,-0.44,0.38
395,1.01634393277358E+018,g-Term Returns? $HSY https://t.co/lHCk0n8600,Mon Jul 09 15:30:50 +0000 2018,95.82,93.6439,95.24,93.92,2018-07-09,SADIFAnalytics,HSY,The Hershey Company,https://www.sadifanalytics.com/reports/find/HSY-47233,False,-1.32,0.4
396,1.0163439586943E+018,Rk Asset Management LLC Stake in T Rowe Price Group INC $TROW Decreased by $3.14 Million - https://t.co/2doZ87EIYt,Mon Jul 09 15:30:57 +0000 2018,118.04,116.02,116.22,117.85,2018-07-09,bibeypost_stock,TROW,T. Rowe Price Group,https://www.bibeypost.com/rk-asset-management-llc-stake-in-t-rowe-price-group-inc-trow-decreased-by-3-14-million/,False,1.63,0.76
445,1.01635943121337E+018,Analysts are on the Bearish side about Robert Half International Inc. $RHI this week. - https://t.co/vyoipxIHlM,Mon Jul 09 16:32:26 +0000 2018,67.15,66.22,66.22,67.15,2018-07-09,bibeypost_stock,RHI,Robert Half International Inc.,https://www.bibeypost.com/analysts-are-on-the-bearish-side-about-robert-half-international-inc-nyserhi-this-week/,False,0.93,0.65
486,1.01637745827309E+018,TREND REVERSAL DOWN ALERT: $AEE AMEREN 悼 TradeIdeas via https://t.co/VS8RO1bzXJ to Free Trading Room,Mon Jul 09 17:44:04 +0000 2018,62.02,59.76,62.02,59.97,2018-07-09,AlertTrade,AEE,Ameren Corporation,http://AlertTrade.us,False,-2.05,0.26
